,artist,song_name,spotify_track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,release_year,tracks_popularity
362,The Alchemist,E. Coli (feat. Earl Sweatshirt),3GXSywNvYLAVUCtjMHkKDh,0.322,0.555,11,-8.726,0,0.129,0.208,0.00437,0.325,0.397,96.019,132147,3,2018,75
363,Frank Ocean,Godspeed,34xTFwjPQ1dC6uJmleno7x,0.399,0.0969,6,-12.578,1,0.0509,0.929,0.000168,0.121,0.0758,109.54,177922,4,2016,76
364,AJR,Burn The House Down,0TkJIyL69RAUIbNwGub6uR,0.454,0.66,0,-4.357,1,0.168,0.0364,0.0,0.181,0.568,184.353,212374,4,2018,70
365,Lil Uzi Vert,Top,55Q46o5adtSobImSKrrlqW,0.776,0.762,0,-4.356,1,0.216,0.193,0.0,0.18,0.678,120.039,236000,4,2015,72
366,Kelly Clarkson,Wrapped in Red,5fclVBnzaGrbucvVMC228o,0.521,0.734,7,-4.668,1,0.0392,0.365,0.0,0.132,0.356,123.84,216907,4,2013,68
367,Jaymes Young,Infinity,1SOClUWhOi8vHZYMz3GluK,0.671,0.673,11,-6.941,0,0.0444,0.148,5.29e-05,0.304,0.494,121.963,237720,4,2017,86
368,Taylor Swift,New Romantics,6rZVy6FIG7lSJQMFXHo12z,0.633,0.889,5,-5.87,1,0.0715,0.00463,0.000458,0.0658,0.584,121.956,230467,4,2014,70
369,Clairo,Pretty Girl,0KyAGiNGUytG5JLxJu4F6l,0.93,0.611,0,-4.406,1,0.0415,0.593,0.00124,0.0592,0.695,112.127,178352,4,2017,75
370,Chase Atlantic,Slow Down,5lT5IZWW3JQErXELJpQgJ9,0.477,0.788,10,-4.46,1,0.0362,0.0183,1.78e-06,0.294,0.255,129.967,212093,4,2016,80
371,Travis Scott,CAN'T SAY,27a1mYSG5tYg7dmEjWBcmL,0.702,0.708,10,-5.366,0,0.0547,0.201,0.0,0.118,0.713,147.98,198408,4,2018,76
372,Calum Scott,You Are The Reason,69vToJ9BMbbLlFZo7k7A7B,0.329,0.235,10,-7.699,1,0.0303,0.918,0.0,0.137,0.22,171.006,204326,3,2018,82
373,Steve Lacy,Ryd,5Ha9IheRrkDyr7ZdhaRsWb,0.788,0.939,9,-7.327,0,0.0544,0.0723,0.000181,0.133,0.98,137.002,140182,4,2017,72
374,XXXTENTACION,infinity (888) - feat. Joey Bada$$,7J2gyNghNTzl4EsLhXp01Q,0.562,0.579,10,-6.788,0,0.484,0.274,0.0,0.102,0.577,84.143,176591,4,2018,75
375,J. Cole,Deja Vu,6I6NX6tjGsxFAsIfGzY9lJ,0.657,0.421,9,-11.378,1,0.412,0.352,0.000218,0.187,0.181,174.063,264747,4,2016,73
376,Romeo Santos,Eres Mía,6I86RF3odBlcuZA9Vfjzeq,0.843,0.729,6,-3.634,0,0.0374,0.401,1.2e-06,0.206,0.903,123.046,250640,4,2014,78
377,Cuco,Lo Que Siento,4CYeId6mLAasOb6o0NCz4Y,0.327,0.684,10,-5.576,1,0.177,0.506,0.0,0.427,0.425,86.89,312000,5,2017,75
378,21 Savage,can't leave without it,0hPLZrnDgtKxrym1BHjDhd,0.872,0.591,6,-6.952,0,0.359,0.111,0.0,0.144,0.696,131.982,205352,4,2018,73
379,Morgan Wallen,If I Know Me,03d8S7FBY2kIzhP0E7l4rn,0.777,0.604,8,-5.813,1,0.12,0.765,6.79e-05,0.11,0.672,99.934,157693,4,2018,71
380,Avicii,Waiting For Love,2P4OICZRVAQcYAV2JReRfj,0.579,0.736,6,-3.863,0,0.0527,0.31,0.0,0.198,0.613,127.999,230613,4,2015,84
381,Midland,Drinkin' Problem,1vBpwxsLVwaR4evBIaFmqD,0.622,0.763,9,-6.4,1,0.0263,0.055,8.91e-06,0.313,0.621,102.0,220800,4,2017,71
382,Chris Stapleton,Parachute,5jROdl6MhcmP3O7h2sVgtw,0.642,0.762,6,-7.411,1,0.0296,0.00967,5.72e-05,0.182,0.605,113.038,253200,4,2015,72
383,Bedroom,In My Head,5vwXQUwkpmnkJrfv69L6Mp,0.576,0.608,9,-13.537,1,0.0321,0.169,0.916,0.106,0.18,150.9,354692,4,2017,76
384,Juice WRLD,Used To,0WZFN4E8HrmGUU0EMyKQ8c,0.631,0.709,2,-4.666,1,0.0505,0.0963,0.0,0.376,0.2,84.504,176443,4,2018,73
385,$uicideboy$,Ugly,3qDbBtbRv6eBls6q51pAL7,0.531,0.469,9,-8.787,0,0.137,0.00425,0.0116,0.326,0.346,185.738,155016,3,2015,72
386,Key Glock,Gang Shit No Lame Shit,6gbiTbclnHlmSIPfmF2zEc,0.828,0.434,5,-10.609,1,0.301,0.0394,0.0,0.0806,0.38,115.071,131600,4,2018,73
387,Jhené Aiko,While We're Young,4mL59LVbKgOpEACxraGYdr,0.649,0.791,2,-6.013,1,0.193,0.104,1.97e-06,0.108,0.811,128.023,236160,4,2017,73
388,Sam Smith,Like I Can,2TeLIzFBe3hxkPR5FIQZut,0.656,0.627,7,-6.627,0,0.0379,0.343,2.17e-05,0.124,0.481,99.933,167066,4,2014,81
389,Richy Mitch & The Coal Miners,Evergreen,6me7F0aaZjwDo6RJ5MrfBD,0.555,0.216,3,-11.661,1,0.0721,0.557,0.00416,0.109,0.504,79.109,87000,3,2017,75
390,Peachy!,Falling for U,2xhGZ3WzOa3tir28y7Cb88,0.719,0.36,6,-12.034,1,0.398,0.748,2.18e-06,0.0812,0.409,80.184,124000,4,2017,75
391,Granular,White Noise - 500 hz,65rkHetZXO6DQmBh3C2YtW,0.0,4.98e-05,10,-32.354,0,0.0,0.923,0.297,0.11,0.0,0.0,147097,0,2017,75
392,A$AP Rocky,L$D,4S7YHmlWwfwArgd8LfSPud,0.598,0.252,2,-15.086,1,0.0644,0.194,0.133,0.0992,0.0352,120.064,238307,4,2015,74
393,Trippie Redd,Dark Knight Dummo,4apiNNK0jp9uqn3JDG9My1,0.28,0.821,8,-2.864,0,0.111,0.167,0.0,0.139,0.254,181.444,256163,3,2018,73
394,Jhené Aiko,The Worst,2wBCrtJS3E3TimRZ5MElTI,0.539,0.414,1,-9.156,0,0.0601,0.253,1.3e-06,0.143,0.123,94.895,254493,4,2013,72
395,Ocean Waves For Sleep,Rolling Ocean Waves,11Rm75lU5EmETsTR22C0gT,0.127,0.941,1,-16.083,0,0.0509,0.813,0.988,0.178,1e-05,82.144,96872,3,2015,71
396,Martin Garrix,In the Name of Love,23L5CiUhw2jV1OIMwthR3S,0.501,0.519,4,-5.88,0,0.0409,0.109,0.0,0.454,0.168,133.99,195707,4,2016,82
397,$uicideboy$,"All That Glitters Is Not Gold, But It's Still Damn Beautiful",23A29DEDxMZdwpl0ZRrMOk,0.838,0.802,11,-3.639,0,0.0445,0.00592,0.00339,0.326,0.621,147.972,137900,4,2016,71
398,NAV,Some Way,7zxRMhXxJMQCeDDg0rKAVo,0.744,0.715,0,-6.103,1,0.351,0.101,0.0,0.0919,0.34,154.962,179773,4,2017,76
399,Kendrick Lamar,King Kunta,0N3W5peJUQtI4eyR6GJT5O,0.884,0.657,6,-4.569,0,0.0977,0.00589,0.0,0.154,0.489,107.059,234693,4,2015,76
400,Teyana Taylor,Gonna Love Me,3nXrCAE44KlevAkQB2XWcN,0.514,0.506,10,-7.095,0,0.28,0.402,2.56e-05,0.191,0.312,88.044,166998,4,2018,74
401,Morgan Wallen,Up Down (feat. Florida Georgia Line),3EWMoDIm6lzuR0zQKtuCJX,0.589,0.882,6,-3.039,1,0.035,0.0813,0.0,0.146,0.793,129.915,197253,4,2018,71
402,Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)",5Gu0PDLN4YJeW75PpBSg9p,0.664,0.708,8,-4.154,1,0.0474,0.0337,0.0,0.0841,0.742,103.07,174800,4,2017,77
403,Charlie Puth,Attention,5cF0dROlMOK5uNZtivgu50,0.775,0.613,3,-4.586,0,0.0542,0.109,2.33e-05,0.134,0.797,100.066,208787,4,2018,84
404,Ariana Grande,Winter Things,1jhljxXlHw8K9rezXKrnow,0.639,0.219,0,-10.204,1,0.0717,0.93,0.0,0.227,0.797,74.739,158720,4,2015,75
405,Lil Uzi Vert,7AM,4v1P7JCjehbg5TmLQo2mFy,0.638,0.526,7,-8.401,1,0.131,0.275,0.0,0.462,0.301,139.054,219712,4,2015,72
406,Louis Armstrong,"'Zat You, Santa Claus? - Single Version",0SD2UtunDGrX7OIElVr87B,0.704,0.551,8,-5.479,1,0.153,0.753,0.0,0.2,0.667,123.341,160640,4,2016,70
407,Christian Nodal,Adiós Amor,63bmZnBN1CiJ9sA4qTEe8y,0.433,0.431,2,-6.422,1,0.0367,0.169,0.0,0.307,0.722,177.732,199320,4,2017,78
408,salvia palth,(dream),39iczvfNkZstM8KY8dNDFC,0.328,0.301,0,-13.283,1,0.0366,0.926,0.825,0.118,0.167,147.398,84741,4,2013,75
409,Bad Bunny,La Romana,1khmgu0pveJbkbpbkyvcQv,0.655,0.725,0,-5.497,1,0.188,0.0327,0.00264,0.0611,0.326,125.8,300579,4,2018,77
410,Metro Boomin,Don't Come Out The House (with 21 Savage),2Grb4G6t9VIqo6moKUloom,0.87,0.35,1,-6.082,1,0.277,0.00661,0.000483,0.108,0.175,74.963,168347,4,2018,72
411,The Neighbourhood,The Beach,2u0CelO5c81XS7z3dGpHbS,0.245,0.64,2,-7.426,0,0.0608,0.131,8.11e-06,0.0766,0.105,135.739,255133,4,2015,78
412,Juice WRLD,Legends,1Knctxx9vGZxpZfF66BIEa,0.594,0.798,4,-5.244,1,0.0844,0.115,0.0,0.143,0.381,142.049,191840,4,2018,74
413,6LACK,PRBLMS,4AtZRwSR8BOTTQg5ihSggt,0.417,0.58,9,-4.574,1,0.207,0.0307,1.45e-06,0.179,0.139,68.58,246773,5,2016,73
414,SadBoyProlific,Dead and Cold,33LizV83s7z1gwtmLiKlmv,0.622,0.467,2,-9.889,0,0.568,0.872,2.15e-06,0.0931,0.716,87.967,89625,5,2018,76
415,Houndmouth,Sedona,2MQhTbX792AT6YyzwLz9dt,0.394,0.654,3,-8.243,1,0.0346,0.0404,6.96e-05,0.112,0.264,135.188,239881,4,2015,69
416,Cardi B,Money,2GGMabyHXnJmjY6CXhhB2e,0.95,0.59,8,-6.508,0,0.29,0.00534,0.0,0.11,0.219,130.003,183527,4,2018,74
417,Rex Orange County,Sunflower,7h2nmmoWDi2UpfYKLKWLYB,0.548,0.765,6,-4.463,1,0.0525,0.646,0.00378,0.522,0.573,129.933,252231,4,2017,76
418,Mac DeMarco,Still Beating,4LpUpiYoZ2M3Z1kmhn4EQo,0.709,0.496,1,-10.528,0,0.0417,0.581,0.191,0.151,0.469,78.477,181587,4,2017,74
419,Rainbow Kitten Surprise,Cocaine Jesus,0ZAbupc7jAQpG9IxojQ3s3,0.822,0.362,2,-7.462,1,0.0411,0.16,0.0,0.313,0.159,119.903,229667,4,2015,72
420,$uicideboy$,Lte,6GB3N6bDucdHThFVDCBcCv,0.783,0.494,1,-7.647,1,0.0522,0.0701,0.578,0.123,0.038,106.009,133747,4,2015,73
421,Alec Benjamin,If We Have Each Other,7pT6WSg4PCt4mr5ZFyUfsF,0.656,0.577,10,-5.566,0,0.0802,0.698,0.0,0.296,0.861,173.094,181522,4,2018,77
422,Bobby Shmurda,Hot N*gga,19gEmPjfqSZT0ulDRfjl0m,0.794,0.51,9,-7.314,1,0.42,0.0505,1.81e-06,0.0562,0.18,167.879,194561,4,2014,74
423,Cheriimoya,"Living Life, In The Night",2kx5sQgmjYug0GiDh1a4sU,0.624,0.499,0,-9.962,0,0.0495,0.82,0.0,0.12,0.298,143.249,122517,4,2018,84
424,Rex Orange County,Television / So Far So Good,27rZYxE4l21wTaovX4WTnI,0.403,0.505,5,-7.75,1,0.0463,0.592,0.0,0.121,0.32,164.902,262600,4,2017,77
425,A$AP Rocky,Lord Pretty Flacko Jodye 2 (LPFJ2),1j6kDJttn6wbVyMaM42Nxm,0.485,0.72,6,-5.991,1,0.127,0.0123,0.0,0.0546,0.0471,207.982,126960,4,2015,73
426,Dwayne Johnson,You're Welcome,6U4VqEHy4n5VeiH4pQPL24,0.788,0.745,5,-7.072,1,0.258,0.29,0.0,0.0373,0.672,135.278,163893,4,2016,73
427,Tyler Childers,Tattoos,1XcxubL4Y4U4gxLeIbb8VM,0.333,0.457,9,-7.295,1,0.0307,0.241,0.0399,0.16,0.279,172.143,203360,4,2017,70
428,Luke Combs,Dive - Recorded At Sound Stage Nashville,2VWBdFsDJVGlRTdz4PvYwy,0.742,0.363,1,-8.188,1,0.0282,0.671,1.43e-06,0.145,0.351,130.921,260863,3,2018,72
429,SZA,20 Something,4h6ViRoztTBpWcJ1zFT9Zg,0.569,0.299,11,-8.603,1,0.275,0.739,0.0,0.054,0.505,81.049,198160,4,2017,73
430,Frank Sinatra,Jingle Bells,4KV9bM7a1KDc7b7OakFZic,0.706,0.383,8,-11.44,1,0.0342,0.758,0.0,0.0608,0.87,86.997,122160,4,2017,76
431,Lil Mosey,Noticed,7zLYKWcXnYeHHWidalz7rj,0.699,0.558,11,-7.622,1,0.0603,0.462,0.0,0.116,0.493,79.992,165000,4,2018,76
432,NAV,Myself,05nbZ1xxVNwUTcGwLbp7CN,0.749,0.398,5,-7.44,0,0.171,0.648,1.26e-06,0.115,0.0859,80.032,226040,4,2017,72
433,girl in red,i wanna be your girlfriend,5PjdC2gMATetx5xdnwGUu7,0.541,0.382,7,-14.323,1,0.035,0.0215,0.000836,0.304,0.343,155.901,204991,4,2018,78
434,Summer Walker,Session 32,2ktg2oZDyFAX3iY1QNkXl5,0.574,0.123,1,-13.959,1,0.196,0.894,0.00111,0.118,0.117,115.431,98027,3,2018,75
435,Cody Johnson,Wild as You,4IZOdhEvXYWqh5XAXYzBk3,0.461,0.65,11,-5.372,1,0.0293,0.187,0.0,0.111,0.488,149.873,186067,4,2016,70
436,Ella Fitzgerald,I've Got My Love To Keep Me Warm,1KIJSvzRZzo8ehDTPOXKru,0.514,0.635,0,-4.622,1,0.0694,0.662,0.0,0.204,0.715,110.561,191440,4,2016,70
437,blackbear,idfc,6y6jbcPG4Yn3Du4moXaenr,0.63,0.5,1,-8.755,0,0.0611,0.611,4.04e-05,0.114,0.315,144.871,245172,4,2015,76
438,ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker),55n9yjI6qqXh5F2mYvUc2y,0.731,0.445,0,-8.418,1,0.0533,0.0586,1.96e-05,0.14,0.106,117.97,247160,4,2017,80
439,Romeo Santos,Imitadora,6r46lnXFbE9fr2d3KNaGbe,0.737,0.709,8,-6.889,0,0.045,0.333,0.0,0.289,0.556,125.997,234829,4,2017,78
440,Rihanna,Consideration,6t90Z9XkdsHD8xMxro6KRP,0.883,0.584,7,-2.102,0,0.0465,0.0392,4.39e-06,0.0869,0.784,144.975,161067,4,2016,74
441,J. Cole,Apparently,5O59s7bCgTFsXDXlWecyQ1,0.802,0.544,5,-9.212,1,0.0686,0.605,0.0,0.102,0.57,133.992,292865,4,2014,72
442,mike.,These Days,5tsI3xxDHDgzHhn30LTQNz,0.815,0.364,2,-11.158,1,0.375,0.533,3.52e-05,0.108,0.328,129.937,268566,4,2015,72
443,Cavetown,This Is Home,7s8VgA8OjvwBUuigKzEGBx,0.811,0.266,7,-12.478,1,0.0406,0.56,1.05e-06,0.0962,0.211,130.044,226073,4,2015,74
444,Halsey,Walls Could Talk,5ln5yQdUywVbf8HhFsOcd6,0.626,0.423,1,-6.035,1,0.0513,0.128,0.0,0.18,0.571,95.162,101790,4,2017,78
445,Adele,All I Ask,05TOt5Vz4StdjMpEdFPlvB,0.591,0.28,4,-5.494,1,0.0283,0.889,0.0,0.124,0.348,141.916,271800,4,2015,73
446,Ghostemane,Mercury: Retrograde,0UKzG4fJ1LXf6DInew5vcV,0.826,0.816,2,-7.345,1,0.345,0.0581,0.00938,0.0593,0.43,156.995,124539,4,2017,75
447,Travis Scott,YOSEMITE,7lAK3oHbfEnvUQWosrMMpR,0.785,0.554,0,-6.571,1,0.0409,0.283,3.4e-06,0.116,0.144,128.047,150043,4,2018,75
448,Melanie Martinez,Play Date,4DpNNXFMMxQEKl7r0ykkWA,0.68,0.729,5,-5.077,1,0.0475,0.612,0.0,0.224,0.446,123.97,179867,4,2015,79
449,Cardi B,Bodak Yellow,6KBYefIoo7KydImq1uUQlL,0.926,0.703,11,-6.337,0,0.103,0.0659,0.0,0.231,0.485,125.022,223713,4,2018,73
450,Travis Scott,ASTROTHUNDER,4MXhiYIRDMGAuvZc5IFTwC,0.7,0.46,4,-8.111,0,0.0661,0.142,4.81e-05,0.111,0.286,151.901,142969,4,2018,75
451,Kanye West,Black Skinhead,722tgOgdIbNe3BEyLnejw4,0.766,0.809,1,-6.123,1,0.279,0.0011,0.0,0.168,0.325,130.127,188013,4,2013,75
452,Chief Keef,Faneto,7EcE5yCPVZaZut1JqowbcI,0.849,0.755,1,-7.4,0,0.363,0.346,0.0,0.0564,0.393,144.188,206655,4,2015,71
453,Chris Stapleton,Millionaire,68JS5SFTnW5Yv9Vzw81Jf0,0.616,0.474,10,-9.608,1,0.0266,0.192,0.00762,0.0989,0.493,142.689,210133,4,2017,72
454,Beach Bunny,Sports,77G0k1La0c5Dw8bAFANcyp,0.231,0.877,9,-5.278,1,0.0574,0.000653,0.026,0.0694,0.524,186.142,164165,4,2018,73
455,One Direction,Steal My Girl,2Bs4jQEGMycglOfWPBqrVG,0.536,0.768,10,-5.948,0,0.0347,0.00433,0.0,0.114,0.545,77.217,228133,4,2014,81
456,A$AP Rocky,Jukebox Joints (feat. Joe Fox & Kanye West),2gAGWaK4wvt2xrFUlR4mK8,0.284,0.803,2,-5.293,0,0.173,0.302,0.0,0.242,0.553,67.536,323960,4,2015,72
457,KALEO,Way down We Go,0y1QJc3SJVPKJ1OvFmFqe6,0.489,0.505,10,-8.022,0,0.117,0.579,0.000333,0.104,0.337,163.255,213707,4,2016,81
458,YNW Melly,Mama Cry,2fSW54bA6x2iWePU7rpCiP,0.543,0.492,7,-7.432,1,0.156,0.0739,0.0,0.11,0.107,220.099,231298,4,2018,73
459,Cardi B,Thru Your Phone,74cVJfmK18rhWnscIpGXjt,0.837,0.549,0,-5.722,1,0.167,0.17,0.0,0.057,0.209,121.954,188524,4,2018,72
460,Cody Johnson,Dance Her Home,2g3vpJiqwswGJbUOSkCWqC,0.674,0.892,0,-3.771,1,0.0293,0.205,0.0,0.694,0.889,114.048,174680,4,2014,70
461,Tay-K,The Race,3wGXyJGsCf1myH5MooQIqE,0.766,0.606,9,-6.064,1,0.456,0.00266,0.0,0.166,0.352,160.223,140000,4,2017,72
462,BONES,Sodium,5oo7lrBwuD4dVfJbBLyVyI,0.747,0.32,4,-15.49,0,0.0848,0.224,0.89,0.0727,0.103,121.032,115392,4,2015,74
463,Brown Noise for Babies,Brown Noise,3qdGhfS5yIyqXMNtmJov6o,0.0,2.01e-05,5,-15.776,1,0.0,0.0,0.0,0.0,0.0,0.0,73887,0,2016,74
464,Mitski,A Pearl,7fd3aMiuwHWKsTdZafjOfZ,0.295,0.637,8,-4.043,1,0.0288,0.0496,0.0236,0.112,0.221,84.551,156146,4,2018,76
465,Sonder,One Night Only,74fQgHleHZ4V7Gm1XYcGkj,0.874,0.402,4,-5.786,1,0.0691,0.263,0.00094,0.147,0.764,119.99,195910,4,2018,72
466,Juice WRLD,Candles,1wa6QQsdSE3X2GbRljGpFk,0.715,0.574,7,-6.236,1,0.0817,0.373,0.0,0.174,0.337,157.0,183703,4,2018,72
467,Lauren Daigle,Rescue,7r9kOxiNDnkAg5QKqtyjVk,0.293,0.237,6,-8.17,1,0.0284,0.78,0.0,0.11,0.108,92.935,215613,4,2018,74
468,Doja Cat,So High,1yvSMyZn27M4wEslpSvB0D,0.621,0.585,10,-5.632,0,0.0457,0.12,1.91e-06,0.05,0.668,132.004,199747,4,2014,71
469,Takeoff,Casper,1B4gJRq61xTs6r1O0Uq2iY,0.921,0.607,1,-7.397,1,0.209,0.525,1.12e-06,0.123,0.753,140.071,197079,4,2018,73
470,Current Joys,New Flesh,6HJxxqHWMdidwTVZmZWeHU,0.62,0.594,9,-16.066,1,0.0383,0.887,0.5,0.0917,0.698,165.861,167987,4,2013,73
471,Keith Urban,Blue Ain't Your Color,6wycnu8FWXsj68ig7BEot9,0.69,0.416,7,-7.865,1,0.0335,0.617,1.37e-06,0.102,0.479,82.45,230600,3,2016,70
472,Travis Scott,SKELETONS,6NMtzpDQBTOfJwMzgMX0zl,0.46,0.686,0,-5.948,0,0.0367,0.00146,0.0,0.375,0.252,148.054,145588,4,2018,74
473,Sam Hunt,Body Like A Back Road,7mldq42yDuxiUNn08nvzHO,0.732,0.458,5,-7.225,1,0.0311,0.447,0.0,0.136,0.661,98.938,165387,4,2017,72
474,Koe Wetzel,Something to Talk About,7ptJYMKI7Y1iWdqEZtBMGE,0.612,0.934,9,-5.124,0,0.0663,0.049,0.0,0.103,0.293,130.006,204352,4,2017,69
475,Mitski,I Want You,7FHj19QQigvMH1onMYRNLn,0.339,0.292,3,-11.294,1,0.0348,0.514,0.0,0.0713,0.0655,131.702,183792,3,2013,74
476,Vacations,Relax,5TuTHrKzN6NweeQaKkBNb7,0.471,0.881,11,-4.483,0,0.0467,0.0588,0.000378,0.26,0.544,169.898,158573,4,2016,73
477,Eminem,Lucky You (feat. Joyner Lucas),60SdxE8apGAxMiRrpbmLY0,0.876,0.786,10,-4.884,0,0.306,0.0627,0.0,0.127,0.575,153.068,244679,4,2018,76
478,Kodak Black,Calling My Spirit,2MShy1GSSgbmGUxADNIao5,0.91,0.366,1,-9.954,1,0.0941,0.0996,0.0,0.261,0.74,119.985,152000,4,2018,71
479,Melanie Martinez,Training Wheels,3EGW6TGGbdk6Ys1Y3HU3lj,0.571,0.481,9,-7.179,1,0.0444,0.697,0.0,0.089,0.0807,113.753,205680,4,2015,75
480,The Oh Hellos,"Soldier, Poet, King",3xtiXNDbSKxy20I7D6vFUg,0.347,0.758,8,-7.753,1,0.0706,0.031,0.000659,0.109,0.484,117.959,165674,4,2015,74
481,Diplo,Wish - Trippie Mix,6IpvkngH89cA3hhPC84Leg,0.561,0.832,9,-7.661,1,0.0717,0.232,0.0,0.107,0.666,93.991,176874,4,2018,71
482,$uicideboy$,O Pana!,0cQvicmQo8syJ2Zv8aYDfN,0.797,0.504,0,-6.538,1,0.114,0.0199,2.46e-05,0.198,0.178,114.994,128418,4,2016,71
483,Roddy Ricch,Down Below,4SWWe2OYC4mqf40Gc2RSdl,0.926,0.454,6,-9.932,1,0.0732,0.036,0.000422,0.0896,0.34,119.969,224002,4,2018,74
484,ScHoolboy Q,Man Of The Year,5SsR3wtCOafDmZgvIdRhSm,0.749,0.865,3,-5.228,1,0.0413,0.00536,0.0,0.198,0.371,111.914,216013,4,2014,72
485,Ed Sheeran,Photograph,1HNkqx9Ahdgi1Ixy2xkKkL,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987,4,2014,86
486,Billie Eilish,bellyache,51NFxnQvaosfDDutk0tams,0.695,0.573,4,-8.597,0,0.106,0.46,0.0734,0.482,0.408,99.939,179172,4,2017,79
487,J. Cole,Crooked Smile (feat. TLC),5gFoAVTN9YlM9uJCrFZtgl,0.606,0.784,7,-6.293,1,0.268,0.435,0.0,0.689,0.48,80.985,278573,4,2013,71
488,Summer Walker,Girls Need Love,644rGY6maSElnKVsAg1gJj,0.645,0.418,6,-10.065,0,0.29,0.558,0.0003,0.562,0.123,96.963,140760,4,2018,75
489,Jhené Aiko,Stay Ready (What A Life),5nkUIVKqOqdpB6ApKgEMkv,0.347,0.493,8,-11.548,0,0.29,0.455,0.00366,0.127,0.308,82.887,382760,4,2013,73
490,JID,151 Rum,22WV03i2lBbwNVCE1g671p,0.756,0.867,7,-3.626,1,0.162,0.155,0.00285,0.33,0.666,129.983,156780,4,2018,72
491,LANCO,Greatest Love Story,2yQZwi1P8AkkxxFhQ8rMEK,0.669,0.617,10,-8.72,1,0.057,0.401,0.0,0.119,0.621,147.992,222573,4,2018,70
492,SZA,Doves In The Wind (feat. Kendrick Lamar),593W4qZOwwdqF6YnimJjL6,0.693,0.713,10,-4.489,0,0.351,0.343,0.0,0.102,0.615,137.335,266080,4,2017,72
493,Slipknot,Custer,3GiJq4AQK7324mfIQbpiTf,0.407,0.98,7,-1.58,1,0.107,0.00174,0.000112,0.119,0.537,131.066,254467,4,2014,75
494,Harry Styles,Sweet Creature,5kRPPEWFJIMox5qIkQkiz5,0.427,0.262,7,-8.541,1,0.0276,0.746,0.0,0.068,0.228,104.085,224867,4,2017,76
495,Twenty One Pilots,Tear in My Heart,3bnVBN67NBEzedqQuWrpP4,0.655,0.632,2,-4.802,1,0.0489,0.0189,0.0,0.0722,0.447,120.113,188493,4,2015,75
496,Los Ángeles Azules,Nunca Es Suficiente,63USmok1OioBzKuWGW9wAg,0.789,0.518,2,-5.417,0,0.0406,0.398,0.0,0.0891,0.78,94.001,266213,4,2018,68
497,XXXTENTACION,NUMB,01TnVDiet1DFTsyWKUKovl,0.414,0.416,11,-8.024,0,0.0251,0.1,0.179,0.131,0.196,159.91,186268,4,2018,76
498,Rihanna,Kiss It Better,0UHB9METy4VCXNgkcGqHqS,0.619,0.806,3,-4.8,0,0.0483,0.272,0.0,0.0671,0.877,95.0,253080,4,2016,78
499,Cherub,Doses & Mimosas,44CZRkOxv7UItaAUmh8PgN,0.775,0.655,5,-7.333,1,0.102,0.114,0.00016,0.035,0.346,114.503,323253,4,2014,70
500,Romeo Santos,Propuesta Indecente,5PycBIeabfvX3n9ILG7Vrv,0.757,0.632,2,-6.83,1,0.0549,0.499,0.0,0.0723,0.742,122.936,235133,4,2014,79
501,Lindsey Stirling,"You’re A Mean One, Mr. Grinch",6TXAjof8V0Gr4zFoY00zHR,0.567,0.695,9,-4.896,0,0.0559,0.134,0.0,0.177,0.424,107.934,166133,4,2018,70
502,Childish Gambino,IV. Sweatpants,3x4I4nRuZp5NdtGvCPw6Ms,0.712,0.463,1,-9.33,0,0.143,0.152,0.0,0.642,0.593,80.029,180675,4,2013,71
503,Jordan Davis,Slow Dance In A Parking Lot,6MBUUSIWCzaXW4q58Ktrv9,0.523,0.837,7,-4.494,1,0.0335,0.301,0.0,0.172,0.523,82.006,193929,4,2018,70
504,Them Dirty Roses,Cocaine and Whiskey,74jX68ir4Gjpll6osaaRUK,0.623,0.591,8,-4.958,1,0.0422,0.104,0.0,0.123,0.628,136.089,206449,4,2017,70
505,The Paper Kites,Paint,6uHvbKL0Yi37AuvNRmUfMw,0.364,0.308,4,-13.052,1,0.0402,0.895,0.0023,0.123,0.387,73.328,191773,4,2013,74
506,Jeremih,Planez,08zJpaUQVi9FrKv2e32Bah,0.688,0.556,6,-7.738,1,0.264,0.7,1.87e-06,0.108,0.416,129.336,240320,4,2015,71
507,Paramore,Hard Times,0w5Bdu51Ka25Pf3hojsKHh,0.695,0.818,5,-5.379,0,0.0334,0.00647,4.87e-06,0.0219,0.916,119.965,182693,4,2017,75
508,Vacations,Friends,0jYfN0oxUjdYmAifDBORz9,0.585,0.802,11,-6.352,0,0.0294,0.000204,0.246,0.0779,0.393,89.92,152360,4,2016,74
509,Mac DeMarco,No Other Heart,2aaCNg42RA74s0EmHTBqS7,0.67,0.684,2,-7.47,1,0.0242,0.513,0.0103,0.126,0.852,94.261,173118,4,2015,75
510,Ed Sheeran,Happier,2RttW7RAu5nOAfq6YFvApB,0.522,0.385,0,-7.355,1,0.0288,0.536,0.0,0.135,0.236,89.792,207520,4,2017,81
511,Only The Family,Crazy Story,5i0eJv1DzuyhaYnro4wTKg,0.833,0.496,11,-8.827,1,0.436,0.00999,1.99e-05,0.126,0.148,156.932,146752,4,2018,70
