,artist,song_name,spotify_track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,release_year,tracks_popularity
33,Kanye West,Father Stretch My Hands Pt. 1,4KW1lqgSr8TKrvBII0Brf8,0.724,0.573,7,-4.113,1,0.0549,0.118,0.0,0.538,0.438,113.088,135920,4,2016,83
34,TV Girl,Not Allowed,3IznIgmXtrUaoPWpQTy5jB,0.67,0.905,1,-6.855,1,0.129,0.669,0.000227,0.349,0.563,104.965,167864,4,2016,84
35,Vundabar,Alien Blues,11iIikXxC6NP0Ma8vMD27x,0.467,0.757,3,-5.093,1,0.033,0.0807,0.908,0.0876,0.433,82.282,155933,4,2015,84
36,21 Savage,ball w/o you,50a8bKqlwDEqeiEknrzkTO,0.892,0.633,8,-7.471,1,0.0902,0.0467,0.000189,0.139,0.459,137.994,195047,4,2018,83
37,Arctic Monkeys,Why'd You Only Call Me When You're High?,086myS9r57YsLbJpU0TgK9,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,161124,4,2013,89
38,Billie Eilish,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,200186,4,2018,90
39,Mac DeMarco,Chamber Of Reflection,7H7NyZ3G075GqPx2evsfeb,0.538,0.557,11,-8.678,1,0.0914,0.262,0.914,0.102,0.506,131.03,231724,4,2014,85
40,The Neighbourhood,Daddy Issues,5E30LdtzQTGqRvNd7l6kG5,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,260173,4,2015,87
41,$uicideboy$,Antarctica,5UGAXwbA17bUC0K9uquGY2,0.715,0.633,2,-6.869,1,0.0804,0.553,4.45e-06,0.0905,0.319,105.945,126850,5,2016,81
42,Mac DeMarco,For the First Time,2R4AlwtrrkMaRKojcTIzmL,0.551,0.529,5,-10.469,0,0.0517,0.296,0.0093,0.178,0.521,75.515,182307,4,2017,83
43,The Weeknd,Stargirl Interlude,5gDWsRxpJ2lZAffh5p7K0w,0.715,0.47,5,-12.638,0,0.0772,0.353,0.0923,0.104,0.426,89.965,111627,4,2016,85
44,XXXTENTACION,Everybody Dies In Their Nightmares,3GVkPk8mqxz0itaAriG1L7,0.734,0.57,7,-7.066,0,0.133,0.847,2.14e-05,0.112,0.689,129.953,95467,4,2017,86
45,Vacations,Telephones,0JIMT9gzLIIz0esKLyjbKf,0.526,0.447,2,-9.268,1,0.0274,0.00283,0.0301,0.109,0.183,74.995,212432,4,2018,83
46,A Boogie Wit da Hoodie,My Shit,5uQOauh47VFt3B2kV9kRXw,0.812,0.621,5,-8.3,1,0.0515,0.244,0.0,0.099,0.847,77.998,128157,4,2016,80
47,Ruth B.,Dandelions,2eAvDnpXP5W0cVtiI0PUxV,0.609,0.692,1,-2.958,1,0.0259,0.0157,0.0,0.0864,0.454,116.959,233720,3,2017,91
48,SZA,Broken Clocks,2fXwCWkh6YG5zU1IyvQrbs,0.692,0.684,6,-7.364,1,0.155,0.131,0.0,0.156,0.406,112.912,231253,4,2017,82
49,XXXTENTACION,Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,119133,4,2017,85
50,Kendrick Lamar,PRIDE.,6IZvVAP7VPPnsGX6bvgkqg,0.665,0.535,4,-7.056,0,0.0572,0.0786,1.68e-05,0.154,0.37,138.842,275253,4,2017,83
51,XXXTENTACION,Hope,2ZRo7axmMPeSVUvDbGkJah,0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,110886,4,2018,87
52,Tyler Childers,Lady May,3t5OV1asJHmOlf23T08CLv,0.539,0.16,3,-13.285,1,0.0329,0.881,0.000268,0.105,0.322,81.446,183533,4,2017,79
53,girl in red,we fell in love in october,6IPwKM3fUUzlElbvKw2sKl,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.96,184154,4,2018,86
54,Vacations,Young,1KIJclzEbNhSVw8tiHPWwE,0.498,0.81,7,-4.065,1,0.0263,0.00392,0.00717,0.0635,0.594,79.935,189160,4,2016,84
55,The Neighbourhood,Softcore,2K7xn816oNHJZ0aVqdQsha,0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,206280,4,2018,87
56,XXXTENTACION,Fuck Love (feat. Trippie Redd),7AQim7LbvFVZJE3O8TYgf2,0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036,146520,4,2017,83
57,Tame Impala,The Less I Know The Better,6K4t31amVTZDgR3sKmwUJJ,0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,216320,4,2015,85
58,Juice WRLD,Lean Wit Me,3oDkdAySo1VQQG0ptV7uwa,0.665,0.651,1,-5.515,1,0.156,0.0414,0.0,0.0896,0.237,163.935,175755,4,2018,81
59,Cigarettes After Sex,Sunsetz,69UqtTHfUKAJweQwEStRzC,0.412,0.477,9,-9.381,0,0.029,0.0542,0.798,0.0975,0.141,75.302,214680,4,2017,80
60,TV Girl,Cigarettes out the Window,6QeYSvYqYUsfBzsApbjDHO,0.625,0.659,0,-5.669,1,0.0337,0.12,0.0,0.17,0.594,113.551,198961,4,2016,83
61,Metro Boomin,10 Freaky Girls (with 21 Savage),0AluA5RNsa4Cx6XRhf2hWZ,0.81,0.353,6,-9.931,0,0.31,0.588,0.0,0.102,0.0727,88.031,208293,4,2018,81
62,$uicideboy$,Kill Yourself (Part III),0kEZlJh4mK1QRfb3CT5LPk,0.753,0.68,5,-7.092,0,0.0349,0.326,4.15e-05,0.423,0.192,105.977,145078,4,2015,81
63,80purppp,Hex,7D7e6hm2LiNd6nLuJF6K9Q,0.845,0.398,5,-15.781,1,0.268,0.872,0.00713,0.159,0.482,109.996,122222,4,2018,84
64,The Neighbourhood,You Get Me So High,7zwn1eykZtZ5LODrf7c0tS,0.551,0.881,7,-6.099,0,0.0542,0.186,0.0791,0.152,0.387,88.036,153000,4,2018,84
65,Cage The Elephant,Cigarette Daydreams,2tznHmp70DxMyr2XhWLOW0,0.636,0.676,2,-3.442,1,0.0263,0.0807,0.0,0.0831,0.273,113.98,208760,4,2013,79
66,Mitski,Washing Machine Heart,3jjsRKEsF42ccXf8kWR3nu,0.613,0.822,9,-4.087,1,0.026,0.0092,0.506,0.429,0.567,105.997,128199,4,2018,84
67,Kendrick Lamar,Alright,3iVcZ5G6tvkXZkZKlMpIUs,0.796,0.766,7,-5.974,1,0.238,0.0742,0.0,0.0827,0.558,110.034,219333,4,2015,81
68,Luke Combs,When It Rains It Pours,1mMLMZYXkMueg65jRRWG1l,0.551,0.801,6,-5.069,1,0.0303,0.013,6.03e-06,0.265,0.625,128.027,240760,4,2017,80
69,Drake,Teenage Fever,6n3HGiq4v35D6eFOSwqYuo,0.766,0.283,8,-10.33,0,0.0846,0.111,0.0172,0.115,0.144,97.04,219692,4,2017,82
70,Kali Uchis,Melting,2kSb3wYSOV996xA2NSmpck,0.574,0.479,8,-7.776,1,0.0355,0.179,0.0803,0.106,0.303,115.263,208854,4,2015,85
71,Arctic Monkeys,Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,272394,4,2013,89
72,Joey Bada$$,Love Is Only a Feeling,7umZiitjVsEjMQ6HNddpUI,0.629,0.676,1,-7.088,0,0.191,0.53,0.000325,0.701,0.497,90.377,152041,4,2017,81
73,Metro Boomin,Space Cadet (feat. Gunna),1fewSx2d5KIZ04wsooEBOz,0.901,0.464,5,-9.789,0,0.0645,0.368,1.71e-05,0.238,0.638,109.004,203267,4,2018,83
74,Michael Jackson,Chicago,5BKKy9fIJL5uM9fz1SnqyP,0.608,0.756,7,-2.675,0,0.176,0.0784,0.0,0.187,0.55,176.086,245507,4,2014,83
75,Playboi Carti,Shoota (feat. Lil Uzi Vert),2BJSMvOGABRxokHKB0OI8i,0.673,0.649,1,-8.433,0,0.196,0.188,0.0,0.122,0.47,153.075,153800,4,2018,80
76,The Lumineers,Ophelia,3d8y0t70g7hw2FOWl9Z4Fm,0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,160097,4,2016,77
