,song_name,artist,location_at_chart,year_of_billboard,spotify_track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,tracks_popularity,entered_biilboard
143,no hands,waka flocka flame featuring roscoe dash & wale,45,2011,03tqyYWC9Um2ZqU0ZN849H,0.76,0.595,1,-6.366,1,0.0391,0.00544,0.0,0.241,0.361,131.497,263773,4,72,1
144,i wanna go,britney spears,46,2011,5cCAZS9VhLGEDV4NCfieeg,0.696,0.546,5,-6.55,1,0.0414,0.00379,3.8e-06,0.332,0.787,130.002,210267,4,63,1
145,i'm on one,"dj khaled featuring drake, rick ross & lil wayne",47,2011,608a1wIsSd5KzMEqm1O7w3,0.413,0.807,11,-3.499,0,0.318,0.0536,0.0,0.631,0.438,149.33,296147,4,66,1
146,you make me feel...,cobra starship featuring sabi,48,2011,16Of7eeW44kt0a1M0nitHM,0.668,0.857,7,-2.944,0,0.0535,0.0191,6.71e-06,0.0385,0.748,131.959,215693,4,67,1
147,yeah 3x,chris brown,49,2011,2QtxlzvSBONjs1bDC34ixs,0.705,0.882,11,-3.201,0,0.0445,0.000369,1.16e-06,0.0934,0.7,130.0,241667,4,66,1
148,moment 4 life,nicki minaj featuring drake,50,2011,1ia019RqDK2o4QiANR1Dyn,0.475,0.882,11,-3.883,1,0.351,0.406,0.0,0.241,0.369,98.001,279307,4,67,1
149,i need a doctor,dr. dre featuring eminem & skylar grey,51,2011,70ATm56tH7OrQ1zurYssz0,0.594,0.946,3,-4.521,1,0.452,0.0869,0.0,0.306,0.397,155.826,283733,4,68,1
150,just a dream,nelly,52,2011,3ZdJffjzJWFimSQyxgGIxN,0.531,0.752,1,-6.161,1,0.0305,0.0421,0.0,0.12,0.103,89.917,237800,4,71,1
151,motivation,kelly rowland featuring lil wayne,53,2011,0rIAC4PXANcKmitJfoqmVm,0.599,0.887,4,-3.967,1,0.0984,0.0192,1.21e-06,0.3,0.881,170.918,193837,4,66,1
152,stereo love,edward maya & vika jigulina,54,2011,35Dofxo9smHVxmFQbhYIAT,0.778,0.776,9,-5.359,1,0.0362,0.0338,0.0216,0.0772,0.361,127.049,247615,4,55,1
153,jar of hearts,christina perri,55,2011,0HZhYMZOcUzZKSFwPOti6m,0.349,0.348,3,-6.142,1,0.0316,0.726,0.0,0.12,0.0886,74.541,246587,4,69,1
154,roll up,wiz khalifa,56,2011,53DB6LJV9B8sz0p1s6tlGS,0.523,0.805,3,-5.473,1,0.192,0.0524,0.0,0.0914,0.602,125.358,227773,5,59,1
155,sexy and i know it,lmfao,57,2011,0obBFrPYkSoBJbvHfUIhkv,0.707,0.861,7,-4.225,1,0.316,0.1,0.0,0.191,0.795,130.021,199480,4,60,1
156,rocketeer,far*east movement featuring ryan tedder,58,2011,45sDIKapDyxPl307QpEAwl,0.664,0.845,4,-6.115,0,0.0461,0.181,0.0,0.267,0.357,96.005,211253,4,64,1
157,all of the lights,kanye west,59,2011,22L7bfCiAkJo5xGSQgmiIO,0.531,0.803,1,-3.284,1,0.0717,0.0796,1.71e-05,0.176,0.221,142.113,299613,4,72,1
158,hold it against me,britney spears,60,2011,7Dyq1bhhjknLKEGg4k5NLr,0.648,0.722,0,-4.813,0,0.0427,0.0103,0.0,0.24,0.389,132.973,228827,4,54,1
159,more,usher,61,2011,5OELUCYgOHKFAvCERnAvfS,0.62,0.869,6,-5.479,1,0.0462,0.615,0.0,0.131,0.597,126.019,216573,4,74,1
160,what the hell,avril lavigne,62,2011,2z4U9d5OAA4YLNXoCgioxo,0.578,0.926,6,-3.689,0,0.0548,0.00472,0.0127,0.14,0.877,149.976,220707,4,70,1
161,written in the stars,tinie tempah featuring eric turner,63,2011,61HQWI1Woxup7CnGwVUsdI,0.644,0.945,7,-3.534,1,0.0717,0.0587,0.0,0.184,0.573,91.017,219560,4,50,1
162,bottoms up,trey songz featuring nicki minaj,64,2011,4AYX69oFP3UOS1CFmV9UfO,0.844,0.601,1,-5.283,1,0.157,0.0205,0.0,0.385,0.331,73.989,242013,4,68,1
163,dj got us fallin' in love,usher featuring pitbull,65,2011,4356Typ82hUiFAynbLYbPn,0.663,0.861,7,-3.398,0,0.109,0.0338,0.0,0.082,0.654,119.963,220800,4,76,1
164,for the first time,the script,66,2011,2R4AlwtrrkMaRKojcTIzmL,0.551,0.529,5,-10.469,0,0.0517,0.296,0.0093,0.178,0.521,75.515,182307,4,79,1
165,honey bee,blake shelton,67,2011,0gY2iq0xJPRoIB1PScKSw4,0.481,0.849,4,-5.131,1,0.0385,0.00167,1.49e-06,0.121,0.723,205.57,210720,4,60,1
166,don't you wanna stay,jason aldean with kelly clarkson,68,2011,7CZiLgkiVHhFcDkI2Y4lZ4,0.445,0.631,11,-4.798,1,0.0304,0.129,0.0,0.0911,0.152,143.846,256440,4,57,1
167,we found love,rihanna featuring calvin harris,69,2011,6qn9YLKt13AGvpq9jfO8py,0.734,0.766,1,-4.485,1,0.0383,0.025,0.00138,0.108,0.6,127.986,215227,4,75,1
168,pretty girl rock,keri hilson,70,2011,2Adn2LNgkHMH5TelQVAu4n,0.666,0.87,11,-5.004,0,0.246,0.203,0.0,0.0851,0.9,160.014,243920,4,61,1
169,you and i,lady gaga,71,2011,1MRnyqgA3P1T5Dw72lfZLm,0.474,0.919,10,-5.702,0,0.0381,0.259,0.945,0.341,0.445,90.225,151695,4,69,1
170,like a g6,far*east movement featuring cataracs & dev,72,2011,4DvhkX2ic4zWkQeWMwQ2qf,0.435,0.837,3,-8.126,1,0.449,0.00676,0.0,0.117,0.778,124.913,216893,4,66,1
171,without you,david guetta featuring usher,73,2011,1KMkcUvF7m3SDChDOa7i5L,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,161385,4,71,1
172,back to december,taylor swift,74,2011,3DrjZArsPsoqbLzUZZV1Id,0.529,0.67,2,-4.663,1,0.0303,0.117,0.0,0.334,0.286,141.893,293027,4,66,1
173,teenage dream,katy perry,75,2011,5jzKL4BDMClWqRguW5qZvh,0.719,0.798,10,-4.582,1,0.0361,0.0162,2.34e-06,0.134,0.591,120.011,227741,4,69,1
174,crazy girl,eli young band,76,2011,1nVLAEzhBXMJLR5zAl90Nl,0.366,0.651,4,-3.842,1,0.031,0.000415,0.00526,0.271,0.257,151.343,200707,3,67,1
175,cheers (drink to that),rihanna,77,2011,46MDLc0Yip6xCMSsdePOAU,0.576,0.912,9,-3.623,1,0.0403,0.0182,0.0,0.293,0.727,79.981,261747,4,47,1
176,who says,selena gomez & the scene,78,2011,3TcL0dyCMyr0kyTTc4NLgI,0.682,0.927,4,-2.915,1,0.0479,0.0843,0.0,0.149,0.744,101.019,195613,4,72,1
177,barefoot blue jean night,jake owen,79,2011,3ts6xK5GzfMAAriT9AIBmP,0.599,0.807,4,-4.679,1,0.0402,0.202,0.0,0.196,0.812,172.017,167427,4,67,1
178,knee deep,zac brown band featuring jimmy buffett,80,2011,60IGhnH20N82dNxKnc8jDd,0.715,0.584,8,-8.231,1,0.0296,0.432,1.41e-06,0.095,0.609,90.99,203173,4,68,1
179,country girl (shake it for me),luke bryan,81,2011,0JbSghVDghtFEurrSO8JrC,0.645,0.904,2,-4.532,1,0.0462,0.0293,0.0,0.0834,0.671,105.97,225560,4,72,1
180,remind me,brad paisley duet with carrie underwood,82,2011,23EiczD3banQL1m3pfC8LT,0.744,0.744,7,-4.334,1,0.142,0.247,0.0,0.116,0.662,104.007,182682,4,0,1
181,in the dark,dev,83,2011,6xd51Blf4S1T98r9iykAER,0.735,0.788,1,-3.057,0,0.0395,0.182,1.8e-06,0.0709,0.563,126.03,172721,4,58,1
182,backseat,new boyz featuring the cataracs & dev,84,2011,3aGibUHhQyBsyumYHylw0K,0.546,0.651,1,-7.601,1,0.3,0.000739,0.0,0.235,0.646,77.878,212653,4,65,1
183,headlines,drake,85,2011,6LxSe8YmdPxy095Ux6znaQ,0.636,0.566,6,-7.16,0,0.106,0.365,0.000353,0.0917,0.425,151.894,235987,4,73,1
184,best thing i never had,beyonce,86,2011,3lBRNqXjPp2j3JMTCXDTNO,0.546,0.649,6,-4.056,1,0.0324,0.143,1.55e-05,0.0894,0.298,99.05,253747,4,66,1
185,don't wanna go home,jason derulo,87,2011,1r3myKmjWoOqRip99CmSj1,0.671,0.808,2,-4.861,0,0.0652,0.02,0.0,0.134,0.637,121.956,206080,4,59,1
186,where them girls at,david guetta featuring flo rida & nicki minaj,88,2011,63rbP24OzfaQCJjsHWZXnY,0.664,0.872,3,-3.117,1,0.0396,0.0306,0.0,0.228,0.555,129.873,210093,4,62,1
187,she ain't you,chris brown,89,2011,3dhvQUA0NyrAea4vQ7X6Gn,0.634,0.716,2,-6.502,1,0.128,0.0341,0.0,0.0877,0.619,91.039,248107,4,56,1
188,take a back road,rodney atkins,90,2011,7B6m8tHAYZsOKOKMU5SR2n,0.581,0.856,3,-4.0,1,0.0783,0.183,0.0,0.0871,0.918,169.902,209427,4,60,1
189,please don't go,mike posner,91,2011,6jg5SRvdGxvJ0DzNV0UqEK,0.699,0.882,4,-3.896,0,0.0311,0.00296,0.0544,0.13,0.657,120.016,196813,4,63,1
190,sure thing,miguel,92,2011,0JXXNGljqupsJaZsgSbMZV,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,195373,4,90,1
191,price tag,jessie j featuring b.o.b,93,2011,5mvKuE9Lf9ARVXVXA32kK9,0.638,0.831,5,-3.944,1,0.182,0.0281,3.06e-06,0.277,0.685,175.038,223053,4,59,1
192,god gave me you,blake shelton,94,2011,0w9LJae3sVlZlH2CnxTInF,0.483,0.844,2,-5.043,1,0.0314,0.00481,7.29e-05,0.405,0.543,151.977,229533,4,58,1
193,she will,lil wayne featuring drake,95,2011,0b4M7hd7mzLTm99MrMeZsp,0.364,0.841,8,-4.831,1,0.119,0.000402,0.0,0.242,0.0841,100.14,305840,5,64,1
194,are you gonna kiss me or not,thompson square,96,2011,2TAcwD5KcV9uY3O1tLGV15,0.485,0.701,8,-3.807,1,0.0288,0.039,0.0,0.0977,0.613,151.948,184920,4,62,1
195,animal,neon trees,97,2011,1fBl642IhJOE5U319Gy2Go,0.482,0.833,5,-5.611,1,0.0449,0.000346,0.0,0.365,0.74,148.039,212293,4,66,1
196,you and tequila,kenny chesney featuring grace potter,98,2011,1t2hJFgJyUPD2crOafMUEk,0.691,0.454,6,-9.13,1,0.0256,0.437,0.00227,0.0783,0.35,135.839,242840,4,60,1
197,colder weather,zac brown band,99,2011,3U8dHeggJ8IBe0UCb1gbyB,0.667,0.381,3,-7.494,1,0.0294,0.455,0.0,0.116,0.199,135.975,273893,4,67,1
198,my last,big sean featuring chris brown,100,2011,70tFuqBcduJv15bEnOPRTh,0.387,0.773,8,-5.685,1,0.17,0.098,0.0,0.209,0.368,78.629,254120,4,53,1
