,artist,song_name,spotify_track_id
78,XXXTENTACION,Fuck Love (feat. Trippie Redd),7AQim7LbvFVZJE3O8TYgf2
79,Tame Impala,The Less I Know The Better,6K4t31amVTZDgR3sKmwUJJ
80,Juice WRLD,Lean Wit Me,3oDkdAySo1VQQG0ptV7uwa
81,Cigarettes After Sex,Sunsetz,69UqtTHfUKAJweQwEStRzC
82,TV Girl,Cigarettes out the Window,6QeYSvYqYUsfBzsApbjDHO
83,Metro Boomin,10 Freaky Girls (with 21 Savage),0AluA5RNsa4Cx6XRhf2hWZ
84,$uicideboy$,Kill Yourself (Part III),0kEZlJh4mK1QRfb3CT5LPk
85,80purppp,Hex,7D7e6hm2LiNd6nLuJF6K9Q
86,The Neighbourhood,You Get Me So High,7zwn1eykZtZ5LODrf7c0tS
87,Cage The Elephant,Cigarette Daydreams,2tznHmp70DxMyr2XhWLOW0
88,Taylor Swift,Blank Space,1p80LdxRV74UKvL8gnD7ky
89,Travis Scott,goosebumps,6gBFPUFcJLzWGx4lenP6h2
90,Mitski,Washing Machine Heart,3jjsRKEsF42ccXf8kWR3nu
91,Kendrick Lamar,Alright,3iVcZ5G6tvkXZkZKlMpIUs
92,Luke Combs,When It Rains It Pours,1mMLMZYXkMueg65jRRWG1l
93,Drake,Passionfruit,5mCPDVBb16L4XQwDdbRUpz
94,Drake,Teenage Fever,6n3HGiq4v35D6eFOSwqYuo
95,Kali Uchis,Melting,2kSb3wYSOV996xA2NSmpck
96,Arctic Monkeys,Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst
97,Joey Bada$$,Love Is Only a Feeling,7umZiitjVsEjMQ6HNddpUI
98,Metro Boomin,Space Cadet (feat. Gunna),1fewSx2d5KIZ04wsooEBOz
99,Post Malone,rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt
100,Michael Jackson,Chicago,5BKKy9fIJL5uM9fz1SnqyP
101,Playboi Carti,Shoota (feat. Lil Uzi Vert),2BJSMvOGABRxokHKB0OI8i
102,The Lumineers,Ophelia,3d8y0t70g7hw2FOWl9Z4Fm
103,Men I Trust,Show Me How,01TyFEZu6mHbffsVfxgrFn
104,Sam Smith,Have Yourself A Merry Little Christmas,1Qi2wh8fFgDV7tl4Sj3f2K
105,Kanye West,Violent Crimes,3s7MCdXyWmwjdcWh7GWXas
106,Drake,One Dance,1zi7xx7UVEFkmKfv06H8x0
107,Rihanna,Needed Me,4pAl7FkDMNBsjykPXo91B3
108,OneRepublic,Counting Stars,6sy3LkhNFjJWlaeSMNwQ62
109,Frank Ocean,Ivy,2ZWlPOoWh0626oTaHrnl2a
110,Hozier,Take Me to Church,1CS7Sd1u5tWkstBhpssyjP
111,J. Cole,Power Trip (feat. Miguel),2uwnP6tZVVmTovzX5ELooy
112,Childish Gambino,3005,5cc9Zbfp9u10sfJeKZ3h16
113,XXXTENTACION,SAD!,3ee8Jmje8o58CHK66QrVC2
