,artist,song_name,spotify_track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1057,Brent Faiyaz,Rehab (Winter In Paris),0zWbYGQq5O1KQd0iqzgjP6,0.549,0.242,5,-11.692,1,0.038,0.809,8.1e-05,0.127,0.286,144.211,180304,4
1058,Suki Waterhouse,Good Looking,0j3mqDTK4Z6lvrLzFCUUz6,0.364,0.554,4,-9.076,1,0.0301,0.077,0.000297,0.125,0.257,150.079,214800,3
1059,Kanye West,True Love,06JvOZ39sK8D8SqiqfaxDU,0.712,0.861,5,-5.487,0,0.25,0.0182,6.09e-06,0.511,0.388,84.042,148571,4
1060,YoungBoy Never Broke Again,Make No Sense,6klLvorLoo1sxvZcjJIY8I,0.876,0.733,10,-4.478,0,0.333,0.0208,0.0,0.0999,0.962,154.904,148630,4
1061,Juice WRLD,Conversations,4K06PO78fW4mnBVenxGNob,0.747,0.622,11,-5.825,1,0.0838,0.176,0.0,0.151,0.57,159.93,181661,4
1062,Olivia Rodrigo,brutal,6SRsiMl7w1USE4mFqrOhHC,0.672,0.526,4,-6.446,1,0.0599,0.0311,1.37e-06,0.28,0.28,123.999,143747,4
1063,Lil Tjay,F.N,0RLLvYBopDwooCyvnTwgYu,0.567,0.515,6,-10.265,0,0.247,0.354,0.0,0.078,0.321,120.1,224000,1
1064,Lauren Spencer Smith,Flowers,6Z165JvPnS8PYvGW8oLGLc,0.684,0.449,3,-9.738,1,0.611,0.869,0.0,0.0881,0.341,66.165,157373,4
1065,The Weeknd,Nothing Is Lost (You Give Me Strength),1DzJbVkBELu6jDu6q0T0tk,0.52,0.693,5,-7.704,1,0.0331,0.0002,2.2e-05,0.122,0.12,126.985,267505,4
1066,HARDY,GIVE HEAVEN SOME HELL,2bVeUlOC5JjTpkQXuUUoYm,0.639,0.843,11,-4.975,1,0.0362,0.0525,0.0,0.0854,0.528,126.047,217802,4
1067,Drake,Yebba’s Heartbreak,1PDP7mLiAMwhfmgIwzhOm2,0.476,0.161,8,-11.665,0,0.0407,0.967,0.0381,0.109,0.0908,119.614,133763,4
1068,$uicideboy$,"My Swisher Sweet, But My Sig Sauer",4QlbH3QGLr13WeLUywH9DA,0.683,0.969,0,-3.29,1,0.171,0.000275,0.126,0.94,0.595,170.017,226932,4
1069,charlieonnafriday,Enough,4vuVzf7BIZhDAFm3TB0Tzy,0.745,0.543,7,-8.137,1,0.0396,0.22,0.0,0.174,0.242,139.964,185267,4
1070,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,5U1OEoEW4xnalSAToamwZL,0.431,0.34,0,-9.384,1,0.0311,0.794,0.0108,0.12,0.0529,119.877,285051,4
1071,Steve Lacy,N Side,12ILYlOEfWL8ei0BEgFJn0,0.838,0.535,11,-6.303,0,0.0432,0.0714,0.000302,0.208,0.894,119.946,224444,4
1072,Luis R Conriquez,El Gavilán,4ygQ5wSuzzNRevVjup1qV2,0.724,0.684,11,-4.413,1,0.0705,0.144,0.0035,0.302,0.729,144.117,175296,3
1073,The Ronettes,Sleigh Ride,7fUYUcWy853HS8YJn0b3Sr,0.529,0.772,2,-7.013,1,0.0287,0.403,2.21e-06,0.316,0.853,91.751,181267,4
1074,Aventura,Volví,2vmfvSoZBFAt9hhRoEByLi,0.725,0.86,1,-3.726,1,0.182,0.422,0.000284,0.0674,0.791,175.896,230125,4
1075,Dxrk ダーク,RAVE,01kfSdF9zfcDLri5sSWEoL,0.716,0.748,8,-6.06,1,0.0356,0.235,0.849,0.114,0.338,119.918,169245,4
1076,The Weeknd,Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,191014,4
1077,Carin Leon,No Es Por Acá,3bvJftZKZe5QKz433NczyV,0.746,0.37,2,-6.309,1,0.0306,0.456,0.0,0.106,0.595,97.568,167692,3
1078,Nicki Minaj,Super Freaky Girl,2yjlYDiNiQkdxVqTlaSrlX,0.951,0.878,2,-2.565,1,0.211,0.0509,1.61e-05,0.321,0.923,133.014,170977,4
1079,Grupo Marca Registrada,Puro Campeón,1kNC7b4zXbqoceKpkGdnD8,0.851,0.542,10,-8.152,1,0.122,0.361,3.73e-06,0.132,0.789,101.896,196437,4
1080,Drake,Girls Want Girls (with Lil Baby),37Nqx7iavZpotJSDXZWbJ3,0.767,0.438,7,-8.726,0,0.29,0.181,0.0,0.142,0.381,86.975,221980,4
1081,Alessia Cara,Make It To Christmas,6RS6rcjnWrdfVuu2U2W2dj,0.522,0.522,2,-7.87,1,0.0383,0.13,0.0,0.438,0.305,77.072,211013,4
1082,Sir Chloe,Michelle,6XrTwqp0vMc2Z3m4ttoyRe,0.366,0.439,4,-5.238,1,0.0298,0.0781,1.92e-05,0.108,0.11,115.94,214088,3
1083,Lil Tjay,Run It Up (feat. Offset & Moneybagg Yo),1dg3qy5DjoJodawfOCgrTP,0.88,0.575,6,-6.091,1,0.163,0.415,0.0,0.109,0.671,120.031,232048,4
1084,Three Peels,White Noise Waterfall,5WkRINJDHP7zdAo45F1bJb,0.188,0.00481,3,-23.892,0,0.0575,0.131,0.352,0.13,0.0388,115.759,163506,3
1085,Morgan Wallen,865,0sKEilrw1GrBlG6qsTCrP4,0.532,0.584,8,-5.254,1,0.0248,0.723,0.0,0.101,0.367,88.003,190680,4
1086,ROSALÍA,DESPECHÁ,5ildQOEKmJuWGl2vRkFdYc,0.919,0.623,7,-6.521,1,0.0992,0.184,1.63e-05,0.0609,0.775,130.037,157018,4
1087,Tyler Childers,Way of the Triune God - Hallelujah Version,2BJy4svtrGACqRB5BFLOK6,0.696,0.583,10,-6.384,1,0.0307,0.629,0.0,0.123,0.543,79.057,208813,4
1088,Summer Walker,Playing Games (with Bryson Tiller) - Extended Version,2xyx0o4xNOLLjBSbOOdcbA,0.726,0.408,11,-6.606,0,0.0614,0.603,0.0,0.225,0.459,115.918,143227,4
1089,Lil Baby,Never Hating (feat. Young Thug),1Py8c3dkLF0YczcAyBFBEM,0.879,0.504,8,-8.284,1,0.271,0.0016,0.0,0.147,0.335,102.929,160777,4
1090,Jhayco,En La De Ella,5NxhMcHSVY3Z7ykWxZf3aj,0.816,0.77,1,-5.477,1,0.0538,0.0798,0.0,0.118,0.671,96.99,230653,4
1091,Tiësto,The Motto,18asYwWugKjjsihZ0YvRxO,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,164819,4
1092,BTS,Run BTS,69xohKu8C1fsflYAiSNbwM,0.724,0.818,8,-3.747,1,0.168,0.0201,0.0,0.0358,0.696,77.004,204940,4
1093,Eyedress,Something About You,6RiiSy9GzSwiyDEJDiMuKe,0.648,0.781,9,-8.736,0,0.0271,0.0332,0.013,0.305,0.822,133.417,153313,4
1094,A$AP Ferg,"Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)",5oady7OSE7dH7LHiqmb3Cr,0.737,0.597,7,-7.333,1,0.119,0.292,0.0,0.13,0.449,92.049,222987,4
1095,Kodak Black,Super Gremlin,1Y5Jvi3eLi4Chwqch9GMem,0.825,0.414,2,-6.634,1,0.144,0.00265,0.0,0.357,0.106,72.993,200548,4
1096,Taylor Swift,champagne problems,0sY6ZUTh4yoctD8VIXz339,0.462,0.24,0,-12.077,1,0.0377,0.92,0.0,0.113,0.32,171.319,244000,4
1097,Pop Smoke,Element,57BGVV6wcyhbn3hsjlqEZB,0.772,0.878,2,-4.22,1,0.324,0.0301,2.18e-06,0.251,0.305,61.311,135747,5
1098,$uicideboy$,Champagne Face,1UsvO5U72YRU8Xnq8Lp14O,0.894,0.767,10,-4.695,0,0.137,0.0231,2.36e-05,0.574,0.412,144.077,140289,4
1099,DVRST,Close Eyes,3CLSHJv5aUROAN2vfOyCOh,0.784,0.572,0,-9.853,1,0.0573,0.0748,0.843,0.139,0.209,96.181,132346,4
1100,Lana Del Rey,Doin' Time,0Oqc0kKFsQ6MhFOLBNZIGX,0.641,0.559,7,-11.132,0,0.0355,0.404,0.00402,0.0937,0.523,144.982,202193,4
1101,Conan Gray,Maniac,6KfoDhO4XUWSbnyKjNp9c4,0.628,0.639,8,-5.46,1,0.0435,0.00162,0.0,0.354,0.493,108.045,185773,4
1102,Rex Orange County,Pluto Projector,4EWBhKf1fOFnyMtUzACXEc,0.379,0.219,5,-11.196,1,0.0307,0.707,0.000691,0.118,0.188,79.786,267520,4
1103,JIN,The Astronaut,0h7QMc9ZRzA9QJrbEHytn2,0.54,0.761,5,-5.356,1,0.0311,0.00446,2.5e-06,0.137,0.215,124.988,282463,4
1104,Ivan Cornejo,La Última Vez - Deluxe,1XX3sKKZN3DfWeFpMAc2WX,0.523,0.457,2,-8.213,0,0.0296,0.622,0.0,0.108,0.32,141.922,252166,3
1105,Mitchell Tenpenny,We Got History,6Awl7JBDQjfm7xkS3LkhDi,0.628,0.833,0,-6.327,1,0.0311,0.0014,0.0,0.104,0.309,98.025,203680,4
1106,Yahritza Y Su Esencia,Inseparables,57GWBz1UtT6iei1jrbkovI,0.676,0.441,3,-6.929,1,0.0253,0.726,0.0,0.0884,0.515,140.091,171724,3
1107,Kendrick Lamar,Silent Hill,3lzUeaCbcCDB5IXYfqWRlF,0.907,0.577,1,-6.737,0,0.0767,0.438,3.19e-05,0.137,0.801,140.07,220779,4
1108,Elton John,Hold Me Closer,72yP0DUlWPyH8P7IoxskwN,0.667,0.75,0,-4.602,1,0.0906,0.0746,0.000198,0.197,0.486,126.041,202246,4
1109,Benson Boone,In The Stars,1ei3hzQmrgealgRKFxIcWn,0.362,0.54,10,-6.031,1,0.0528,0.338,0.0,0.139,0.3,78.007,216410,3
1110,Maroon 5,Memories,4cktbXiXOapiLBMprHFErI,0.775,0.327,11,-7.241,1,0.0557,0.841,0.0,0.0821,0.595,91.05,189486,4
1111,"Tyler, The Creator",SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),3EG9FJ0ToLfgnc1IG2Z1wz,0.468,0.652,0,-4.912,1,0.0722,0.333,0.000318,0.55,0.39,140.223,588139,4
1112,Montell Fish,Fall in Love with You.,4kJT7Yj6Za01KfKHjb7mZE,0.538,0.0203,4,-23.163,1,0.0437,0.92,0.019,0.104,0.103,121.447,132000,3
1113,Julia Michaels,What A Time (feat. Niall Horan),5WtfUKzXircvW8l5aaVZWT,0.516,0.467,0,-6.184,1,0.0302,0.662,0.0,0.0853,0.386,132.861,173307,4
1114,Lil Tecca,LOT OF ME,2ZXxRC6V6AXzMdbLQZMHSB,0.704,0.537,0,-8.565,1,0.302,0.223,0.0,0.122,0.7,77.444,123871,4
1115,Metro Boomin,Lock On Me (with Travis Scott & Future),0OoNzMdPSgbkM5MkcuEZfm,0.746,0.497,10,-8.313,1,0.227,0.511,2.2e-05,0.0988,0.169,93.971,174707,4
1116,Fuerza Regida,Me Acostumbre A Lo Bueno,1hHnCReCPe1FUkGLTeuCaC,0.715,0.739,6,-3.779,0,0.041,0.578,0.0,0.0887,0.963,101.611,140984,3
1117,Gunna,Banking On Me,7Fege3yv4dvehB3NdRBGwI,0.793,0.308,0,-10.414,0,0.0466,0.613,1.68e-05,0.0953,0.46,135.143,200000,4
