,song_name,artist,spotify_track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,tracks_popularity,entered_biilboard
1437,Me U & Hennessy (feat. Lil Wayne),DeJ Loaf,4TSDz7xZtxIXeKwiOuCe25,0.417,0.551,2,-8.361,1,0.272,0.56,0.0,0.129,0.216,86.848,224972,4,72,0
1438,Bad Girls,M.I.A.,6nzXkCBOhb2mxctNihOqbb,0.639,0.912,1,-2.621,1,0.0615,0.00107,0.0,0.097,0.343,143.448,227520,4,76,0
1439,Sidewalks,The Weeknd,4h90qkbnW1Qq6pBhoPvwko,0.542,0.72,1,-5.136,0,0.0628,0.147,0.0,0.348,0.623,149.828,231360,4,75,0
1440,Major (feat. Key Glock),Young Dolph,3Yt2ph8Ko0JBANpdawzSF2,0.907,0.651,6,-5.661,0,0.312,0.0111,0.000433,0.108,0.637,147.026,195547,4,69,0
1441,Beyond,Leon Bridges,1Omt5bfz1tZUCqd26HxbS0,0.581,0.687,6,-5.4,1,0.105,0.229,0.0,0.109,0.187,76.014,240600,4,74,0
1442,Love It If We Made It,The 1975,6WmIyn2fx1PKQ0XDpYj4VR,0.472,0.745,4,-5.297,1,0.0356,0.000607,2.74e-05,0.0957,0.0631,180.06,252926,4,74,0
1443,Devil Eyes,Hippie Sabotage,7MiZjKawmXTsTNePyTfPyL,0.391,0.396,1,-8.621,0,0.189,0.702,0.405,0.315,0.199,99.112,131272,5,79,0
1444,hostage,Billie Eilish,1WsEgieHsWWndAzLkmV105,0.427,0.123,9,-15.228,0,0.0497,0.868,3.12e-05,0.0732,0.0394,129.565,229426,5,75,0
1445,4:44,JAY-Z,1gT5TGwbkkkUliNzHRIGi1,0.261,0.852,9,-4.965,1,0.158,0.139,4.26e-05,0.477,0.431,177.997,284493,4,73,0
1446,Middy Titty,Paulie Leparik,3QVe9gr87GYcRXAkVpPVYl,0.58,0.633,3,-5.297,1,0.036,0.111,0.88,0.369,0.913,131.912,94668,4,72,0
1447,Pretty When You Cry,Lana Del Rey,6PnluwP0fjGnpIBsqTdUTq,0.509,0.547,10,-6.548,0,0.0417,0.399,0.0,0.215,0.197,109.436,234147,4,77,0
1448,A Holly Jolly Christmas,Brett Eldredge,1GpPsjjd4D1jsteGYpGGIN,0.681,0.474,7,-8.623,0,0.0423,0.621,1.24e-06,0.137,0.7,71.957,142840,4,74,0
1449,Take It From Me,Jordan Davis,3dCZm5HrG0jIXAHfNkg2H0,0.592,0.891,10,-3.144,1,0.0512,0.0267,0.0,0.352,0.674,99.983,174255,4,70,0
1450,God Rest Ye Merry Gentlemen,Pentatonix,02ibK22WhjAVzKBm7da7lm,0.754,0.4,1,-8.832,0,0.0579,0.766,0.0,0.196,0.693,135.945,149680,4,68,0
1451,Narcos,Migos,0wbnC9AUenxp613TYaJsGK,0.936,0.585,0,-6.914,1,0.125,0.0142,0.0,0.132,0.242,124.991,255379,4,73,0
1452,Vivir Mi Vida,Marc Anthony,3QHMxEOAGD51PDlbFPHLyJ,0.656,0.877,0,-3.231,0,0.0342,0.345,0.0,0.349,0.894,105.018,252347,4,78,0
1453,Wolves,Selena Gomez,0tBbt8CrmxbjRP0pueQkyU,0.724,0.804,11,-4.614,0,0.0448,0.124,0.0,0.204,0.306,124.987,197993,4,81,0
1454,Mr. Clean,Yung Gravy,5GxnROd93Y7NGt2ci0TwBw,0.758,0.701,9,-6.053,1,0.162,0.685,6.22e-06,0.114,0.626,106.74,211150,4,70,0
1455,The Other Side Of Paradise,Glass Animals,0rRjGruFonCGOt0S5zAJNQ,0.689,0.338,11,-7.634,0,0.0629,0.349,5.7e-05,0.0649,0.568,128.012,320654,4,72,0
1456,ghost boy,Lil Peep,4AiFSXnVm0Bqecjdn3Brr8,0.662,0.586,5,-6.287,0,0.0251,0.0325,0.00418,0.153,0.0724,107.993,130973,4,73,0
1457,Numbers,TEMPOREX,4GuZMzKXJSoWhwHUqRa0fm,0.423,0.332,6,-10.761,1,0.0288,0.474,0.0,0.0993,0.5,93.958,127973,4,74,0
1458,100 Shots,Young Dolph,3TXy6nchgKeYlVwOKNk9lE,0.798,0.668,8,-5.244,1,0.25,0.135,4.6e-06,0.0583,0.154,134.006,264819,4,68,0
1459,Play with Fire (feat. Yacht Money),Sam Tinnesz,7vguMCv8uVuZLiQJ156u3Z,0.573,0.539,2,-6.091,0,0.0322,0.0162,1.16e-05,0.105,0.39,75.012,180691,4,77,0
1460,Portland,Drake,2bjwRfXMk4uRgOD9IBYl9h,0.925,0.443,1,-8.216,1,0.264,0.0172,0.0,0.276,0.35,136.078,236615,4,73,0
1461,You Was Right,Lil Uzi Vert,2ANLarE8yHVsLWW21nj79M,0.843,0.359,0,-7.417,1,0.461,0.069,0.0,0.12,0.156,81.987,163944,4,69,0
1462,Jekyll and Hyde,Five Finger Death Punch,5MjkeHk6I0JA0q13eqtnJP,0.544,0.96,3,-4.681,0,0.106,0.00058,1.99e-05,0.0531,0.718,154.966,206903,4,68,0
1463,Oh Klahoma,Jack Stauber,6SZwj6cjc8JQbkrr8cbIUn,0.697,0.401,7,-10.216,1,0.0543,0.43,0.0109,0.316,0.478,108.996,185224,4,74,0
